== 法师下调收敛系数（对称口径, 法师3+1≈战士3+1 ±3%）==
  T0: k=0.86  战131 → 法129 (-2.1%)
  T1: k=0.88  战282 → 法277 (-1.7%)
  T2: k=0.87  战497 → 法484 (-2.7%)
  T3: k=0.79  战639 → 法624 (-2.4%)
  T4: k=0.73  战776 → 法757 (-2.4%)
  T5: k=0.66  战854 → 法837 (-2.0%)

== 法师 staff/robe/focus 商店件 old→new（对称收益分）==
  T0 木杖     ×0.86 智6→5 魔12→10 防0→0 命0→0 分33→28
  T0 布袍     ×0.86 智18→15 魔0→0 防10→8 命18→15 分48→40
  T1 学徒法杖   ×0.88 智8→7 魔21→18 防0→0 命0→0 分54→46
  T1 贤者法杖   ×0.88 智11→9 魔32→28 防8→7 命15→13 分98→84
  T2 大法师袍   ×0.87 智23→20 魔14→12 防24→20 命46→40 分114→98
  T2 圣袍·守护  ×0.87 智29→25 魔18→15 防30→26 命56→48 分143→122
  T3 元素法袍   ×0.79 智54→42 魔11→8 防40→31 命74→58 分187→145
  T4 混沌魔袍   ×0.73 智69→50 魔17→12 防52→37 命96→70 分247→178
  T0 见习法杖   ×0.86 智4→3 魔10→8 防5→4 命10→8 分37→29
  T0 精木法杖   ×0.86 智20→17 魔2→1 防8→6 命17→14 分52→42
  T1 风暴法杖   ×0.88 智28→24 魔5→4 防13→11 命33→29 分85→72
  T2 秘银法杖   ×0.87 智25→21 魔28→24 防10→8 命26→22 分119→101
  T2 寒霜法杖   ×0.87 智44→38 魔25→21 防10→8 命26→22 分142→120
  T2 星辉法杖   ×0.87 智61→53 魔27→23 防10→8 命26→22 分171→147
  T3 狱炎法杖   ×0.79 智70→55 魔24→18 防14→11 命36→28 分189→146
  T3 天雷法杖   ×0.79 智80→63 魔29→22 防14→11 命36→28 分214→166
  T4 湮灭法杖   ×0.73 智81→59 魔30→21 防18→13 命46→33 分227→163
  T4 苍穹权杖   ×0.73 智90→65 魔29→21 防18→13 命46→33 分239→172
  T5 神谕圣杖   ×0.66 智96→63 魔35→23 防22→14 命56→36 分270→176
  T1 秘纹法袍   ×0.88 智16→14 魔12→10 防18→15 命34→29 分86→73
  T5 神谕圣袍   ×0.66 智72→47 魔23→15 防60→39 命110→72 分280→183
  T0 见习法器   ×0.86 智1→0 魔7→6 防2→1 命4→3 分20→15
  T1 元素法器   ×0.88 智13→11 魔2→1 防6→5 命10→8 分36→28
  T2 秘术法器   ×0.87 智13→11 魔16→13 防16→13 命22→19 分81→67
  T3 奥术宝珠   ×0.79 智19→15 魔30→23 防38→30 命46→36 分154→120
  T4 苍穹宝珠   ×0.73 智21→15 魔31→22 防70→51 命85→62 分214→155
  T5 神谕法器   ×0.66 智27→17 魔26→17 防120→79 命130→85 分290→190

[dry-run] 未写盘。确认后运行: python docs/regen_linear_score.py --apply
